title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(km),motor(W),maximum_speed(km/hr)
"2 Pack 26"" E-Bike Fat Tires Heavy Duty 26 x 4.0 and 26"" Bike Tubes 26 x 4.0/4.5 AV32mm Schrader Valve and 2 Nylon Rim Strips Compatible with 26"" x 4.0"" Electric Bike/Mountain Bike Tires and Tubes",2,31192,31192,0,0.00%,4.7,363,17.56,2,500,48,26,25
36V/48V 350W Electric Bicycle E-Bike Brushless DC Motor Speed Controller|Sporting Goods | Cycling |Electric Bicycle Components|1 Piece E Bikes Motor Controller,36V/48V,3100,2010,1090,35.16%,4.08,69,17.56,1,36,48,35,25
Acer Flare X Electric Cycle for Adults | 27.5” Wheel Size | Aluminium Alloy Frame | 250W BLDC Motor | Front Hydraulic Suspension | Removable Battery | Pedal Assist & Throttle Mode,Acer,43749,34999,8750,20.00%,3,2,9,1,500,25,25,25
Acer Horizon Electric Cycle for Adults with 36V 250W Speevo Motor & 9Ah Removable Battery | Durable Aluminium Alloy Frame with Dual DISC Brake & Dual LED Lights,Acer,70000,64000,6000,8.57%,3,2,9,1,36,30,25,25
"Acer Momentum Electric Cycle | 36V 250W HYM Bafang Hub Motor, 9Ah in-Frame Removable Battery | Shimano 7 Speed Gears, Dual Disc Brakes, Hydraulic Suspension | King Meter LCD, Password Protected",Acer,70000,65000,5000,7.14%,3,2,9,1,36,50,25,25
"Air Urban E Cycle Unisex Electric Bike (18 inch Frame, 7.8Ah Li Ion Removable Battery, Front & Rear Suspension, Digital Display, 250W Motor,50~60kms Range) (Black)",Air,33999,31999,2000,5.88%,4.4,32,7.8,1,500,55,25,25
"Alter 26"" 002S Model Electric Cycle with 36V 250W BLDC HUB Motor with Waterproof Connector | Lithium ION Battery in Frame | 95% PREASSEMBLED with Charger (5.2AH, Orange)",Alter,50000,23572,26428,52.86%,5,2,5.2,1,36,27,25,30
"Alter 26"" 003 PRO Model Electric Cycle with 7.8AH Removable Lithium ION Battery | 12 Magnets PAS with 5 Control Modes | 95% PRE- Assembled (Black & Golden)",Alter,59999,37170,22829,38.05%,3,1,7.8,1,500,27,33,30
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow & Black)",Alter,33760,32000,1760,5.21%,4,2,10.4,1,500,40,33,30
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow, 10.4AH)",Alter,35580,35580,0,0.00%,4,2,10.4,1,500,40,6,30
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow, 13AH)",Alter,37400,37399,1,0.00%,4,2,13,1,500,37,96,30
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow, 15.6AH)",Alter,39220,39220,0,0.00%,4,2,15.6,1,500,43,3,30
ALTIS Love 1.9 KW Lithium ION Battery Electric Bicycles (Red),ALTIS,99999,79000,20999,21.00%,4.08,69,15.6,2,500,105,26,95
"Amardeep cycles Foldable Sports Bicycle Mountain High Carbon Steel Frame Adults Bike with Double Disc Brake 21 Speed Gear (Black), Dual",Amardeep,34999,11999,23000,65.72%,3.3,47,17.56,1,500,48,26,25
"Ampere Magnus Neo Electric Scooter by Greaves | 118 km IDC Range | Safe LFP Battery with 5-Year / 75,000 km Warranty | Ex-Showroom (Galatic Grey, Magnus Neo)",Ampere,94999,88499,6500,6.84%,4.3,221,30,5,500,118,2,65
Aoki Cadence GL Electric Urban Bicycle | Carbon Belt Drive | 250W Motor | Ultralight <20kg | Stem Display | 700C Tyres | Removable Battery | Arctic White,Aoki,69999,58999,11000,15.71%,5,1,10.4,1,500,70,25,25
"Aoki Flex Go Foldable Electric Bicycle | 48V 250W Hub Motor | 70km Range | 12.8Ah Removable Samsung Battery | 20"" Fat Tyres | 25kmph Speed | Black",Aoki,70999,59999,11000,15.49%,5,1,12.8,10,48,70,25,25
Aoki Street Ghost Electric Bicycle | 48V 250W Motor | 105km Range | 15.6Ah Removable Battery | Dual Rear Suspension | Moto-Style with Indicators | Black,Aoki,73999,62999,11000,14.87%,5,3,15.6,10,48,105,25,25
"Bhavanath Electric Vahicel - Komakii Xgt Km Electric Ebike ! 2 Wheeler ! E Scooty(Liad Charger) (White), Unisex Children",Bhavanath,92999,90000,2999,3.22%,4.08,69,2,2,500,25,2,25
Bicycle Front Seat for Kids for 6 Months - 8 Years Old Mountain Bike Outdoor Black1 Kids Bicycle Front SeatSporting GoodsSporting Goods|Sporting Goods|Sporting Goods,Bicycle,16124,8891,7233,44.86%,4.08,69,17.56,8,500,48,26,25
Bicycle Front Seat for Kids for 6 Months - 8 Years Old Mountain Bike Outdoor Brown with Armrests1 Kids Bicycle Front SeatSporting GoodsSporting Goods|Sporting Goods|Sporting Goods,Bicycle,16847,9333,7514,44.60%,4.08,69,17.56,8,500,48,26,25
bnf® Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Black|1 Set Bike Water Bottle,bnf®,1948,1100,848,43.53%,4.08,69,17.56,2,500,0,26,25
bnf® Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Blue|1 Set Bike Water Bottle,bnf®,1923,1170,753,39.16%,4.08,69,17.56,2,500,0,26,25
bnf® Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Pink|1 Set Bike Water Bottle,bnf®,1920,1170,750,39.06%,4.08,69,17.56,2,500,0,26,25
bnf® Bike Cup Holder Bicycle Water Bottle Holder for Outdoor Mountain Road E Bike Purple|1 Set Bike Water Bottle,bnf®,1920,1170,750,39.06%,4.08,69,17.56,2,500,0,26,25
BNF®Bike Computer Mount Adapter Base Accessories Adjustable Action Camera Holder Hollow|Sporting Goods|Cycling|Bicycle Electronics |Package Includes:1 Set Bike Computer Mount,BNF®Bike,3654,2149,1505,41.19%,4.08,69,17.56,1,500,48,26,25
BNF®E-Bike Rear Light 6V-60V Night Tailight Easy Install Fit for Electric Bike Waterproof Connector|Sporting Goods|Cycling|Bicycle Accessories |Package Includes:1 x Tailight,BNF®E-Bike,2865,1685,1180,41.19%,4.08,69,17.56,1,6,48,26,25
BNF®Electric Bike LCD Display 22.2mm Dia Handlebar Accessories LCD Display Meter|Sporting Goods|Cycling|Bicycle Components & Parts |Package Includes:1 Electric Bike LCD Display,BNF®Electric,7114,4185,2929,41.17%,4.08,69,17.56,1,500,48,26,25
CLUB BOLLYWOOD® 3X E Bike Motor Gear Part Electric Bicycle Nylon Gear for Bicycle Motorcycle|Sporting Goods | Cycling |Electric Bicycle Components|0,CLUB,2361,1389,972,41.17%,4.08,69,17.56,1,500,48,26,25
Club Bollywood® Electric Bicycle LCD Display 24V 36V 48V Scooter LCD Panel M5 E Bike Display|Sporting Goods | Cycling |Electric Bicycle Components|0,Club,8810,5318,3492,39.64%,4.08,69,17.56,1,24,48,26,25
