title,original_price,discount_price,rating,review_count,Battery_Capacity,Battery_Life,Battery_Voltage,Battery_Type,Charging_Time,Mileage_Per_Charge,Motor,Maximum_Speed,Weight
"EMotorad X1 Electric Cycle for Men & Women | 36V 7.65Ah Battery Cycle | Up to 35KM Range, 25 km/h Speed | 27.5” Electric Bicycle with Front Suspension (Ruby Red)","29,999","25,999.",,,7.65ah,1 year,36v,lithium-ion,,35km,00 w,25 km/h,110 kg
"Air Urban E Cycle Unisex Electric Bike (18 inch Frame, 7.8Ah Li Ion Removable Battery, Front & Rear Suspension, Digital Display, 250W Motor,50~60kms Range) (Black)","33,999","31,999.",4.4,32,7.8ah,1 year,500 v,li ion,12 hrs,50~60kms,250w,,120 kg
Motovolt KIVO Easy Electric Cycle - LITE | 45 Km Range | 250W 36V BLDC Motor | Removable Battery - 6Ah Lithium-ion | 110 Kg Load Capacity |Front Suspension | 26” Tyres | Aqua Blue,,"19,999.",3.7,117,6ah,1 year,36v,lithium-ion,,45 km,250w,15 km/h,110 kg
"UBOARD Space Bike Electric Foldable Mini E-Bike with Air Rear Suspension|250W Motor, 36V 8Ah Battery, Up to 30 km Range, 25 km/h|Compact Lightweight Design, Dual Disc Brakes & LED Lights–Neon Green","50,150","37,999.",4.4,20,8ah,1 year,36v,,12 hrs,30 km,250w,25 km/h,150 kg
Motovolt URBN E Bike | URBN Standard Long Range | Range up to 120 Kms in Pedal Assist Mode | Electric Cycle (Red & White),,"39,769.",4.0,134,8.5ah,1 year,500 v,li-ion,30 hours,120 kms,350w,25km/h,120 kg
"Leader E-Power L7 27.5T Electric Cycle with Front Suspension & Dual DISC Brake | Front LED Light and Horn (Li-Ion Battery, 250W BLDC Motor)| 1 Year Warranty on Battery & Motor (Grey-Orange)","60,000","23,999.",3.5,181,,1 year,500 v,li-ion,3hrs,5km,250w,,130kg
Stryder Airborne 26T Fat Tyre Electric Cycle for Men & Women (5.2–6 Ft) | 250W Motor | 10.4Ah Removable Battery | 40KM Range | Dual Disc Brakes | Front Suspension | Color LCD E-Bike,"44,595","44,590.",5.0,1,10.4ah,1 year,500 v,lithium-ion,,40km,250w,,40 kilograms
Stormrider 26x4” Electric Fat Bike for Adults | 350W Rust & Waterproof Powertrain | Patented 36V 13Ah Swappable Battery | Headlight & Horn | Pedal Assist + Throttle Mode- Red,"54,999","46,999.",4.7,12,13ah,1 year,36v,lithium-ion,12 hrs,105km,350w,25 km/h,29 kilograms
Neelam Shockbuzz NB 1.0 Electric Bicycle 27.5T | Detachable Carrier | 30KM Range | 36V 250W Motor | 7.8Ah Battery | Front Suspension Fork | Dual Disc Brakes | Unisex E-Cycle | Blue,"35,999","26,999.",5.0,2,7.8ah,1 year,36v,li-ion,12 hrs,30km,250w,25 km/h,27 kilograms
"UBOARD Space Bike Electric Foldable Mini E-Bike|250W Motor, 36V 8Ah Battery, Up to 30 km Range, 25 km/h Speed|Lightweight Frame, Adjustable Seat, Dual Disc Brakes, LED Lights & LCD Display – Black","50,150","40,269.",4.4,20,8ah,1 year,36v,li-ion,12 hrs,30 km,250w,25 km/h,150 kg
"E MOTORAD - RIDE THE ELECTRIC REVOLUTION T-REX AIR Unisex Electric Bicycle 29"" Wheel Size 16.5inch Frame 250W BLDC Motor Front Suspension 7 Speed Shimano Gears (Metallic Red, 29 inch Wheel)","47,999","37,499.",4.0,179,3ah,1 year,500 v,,4 hours,25 km,250w,25 km/h,110 kilograms
Aoki Street Ghost Electric Bicycle | 48V 250W Motor | 105km Range | 15.6Ah Removable Battery | Dual Rear Suspension | Moto-Style with Indicators | Black,"73,999","62,999.",5.0,3,15.6ah,10 year,48v,li-ion,,105km,250w,25kmph,120 kg
"TATTVALABS SJ-Warrior Unisex Electric Cycle|26""X1.95"" Ralson Tires|Dual Disc & Cut-Off Brakes|9Ah LG Li-Ion in-Built Battery|Fast Charging|Upto 50 Km Range on PAS|Cruise Control|Made in India","35,000","22,000.",2.8,37,9ah,1 year,500 v,li-ion,12 hrs,50 km,00 w,25 km/h,30 kilograms
EMotorad Dope Kids E-Bike | High Tensile Steel Frame | 5.2Ah Removable Battery | Cluster C2 Display | 3 Levels of Pedal Assist | 250W Rear Hub Motor | Single Speed | 15 km/h Speed | Up to 22 km Range,"25,999","19,999.",3.9,12,5.2ah,1 year,500 v,li-ion,3 hours,15 km,250w,15 km/h,24.35 kilograms
Motovolt HUM Electric Cycle - Standard | 105 Km Range | 250W 36V BLDC Motor | Removable Battery - 16Ah Lithium-ion | 120 Kg Load Capacity | Dual Suspension | 26” Tyres | Black,,"39,769.",3.8,53,16ah,1 year,36v,lithium-ion,5 hours,105 km,250w,16km/h,120 kg
Acer Flare X Electric Cycle for Adults | 27.5” Wheel Size | Aluminium Alloy Frame | 250W BLDC Motor | Front Hydraulic Suspension | Removable Battery | Pedal Assist & Throttle Mode,"43,749","34,999.",3.0,2,9ah,1 year,500 v,li ion,12 hrs,25 km,250w,25 km/h,21.5 kilograms
"Alter 26"" 002S Model Electric Cycle with 36V 250W BLDC HUB Motor with Waterproof Connector | Lithium ION Battery in Frame | 95% PREASSEMBLED with Charger (5.2AH, Orange)","50,000","23,572.",5.0,2,5.2ah,1 year,36v,lithium ion,12 hrs,25-30 km,250w,30 km/h,32 kilograms
Neelam Shockbuzz NI 1.0 Electric Bicycle 26T with Rear Carrier | 30KM Range | 36V 250W Motor | 7.8Ah Removable Battery | Dual Disc Brakes | Front Suspension | Unisex E-Cycle | Yellow,"29,999","27,999.",5.0,2,7.8ah,1 year,36v,li-ion,12 hrs,30km,250w,,26 kilograms
EMotorad Legend 07 Black 27.5 inches 7 Speed Lithium-ion (Li-ion) Electric Cycle,"39,999","32,999.",,,7.65ah,5 year,500 v,lithium-ion,,50km,00 w,25 km/h,28 kilograms
Motovolt HUM Electric Cycle - Standard | 105 Km Range | 250W 36V BLDC Motor | Removable Battery - 16Ah Lithium-ion | 120 Kg Load Capacity | Dual Suspension | 26” Tyres | Black,,"39,769.",3.8,53,16ah,1 year,36v,lithium-ion,5 hours,105 km,250w,15 km/h,120 kg
Neelam N.E 2.9 Electric Cycle for Men & Women | 29T Strong Steel Frame | 36V 250W Motor | 10.4Ah Removable Battery | Dual Disc Brakes | LED Display | Royal Blue,"41,999","31,999.",5.0,2,10.4ah,1 year,36v,li ion,12 hrs,30-35 km,250w,25 km/h,5kg
"E MOTORAD - RIDE THE ELECTRIC REVOLUTION Unisex X1 Mountain Electric Cycle with Removable Battery, 27.5inch Wheel Size, Front Suspension, 250W BLDC Motor, 90% Assembled (10.2Ah Battery, Ruby Red)","32,999","30,999.",4.1,762,10.2ah,1 year,500 v,li-ion,5 hours,25 km,250w,25 km/h,20.06 kilograms
"NINETY ONE E Cycle Series (Madrid - White Yellow, 27.5T - 21 Speed)","30,000","22,999.",4.1,216,,1 year,500 v,,12 hrs,15-20 kms,00 w,,23.5 kilograms
"Neelam E Inferno Unisex Electric Bicycle T-27.5"" High Tensile Steel Frame| Disk Brake|Outer Battery 36V-250W|10.4 AH| Suspension Fork|LED Display|Memory Foam Saddle Color- RED","32,999","29,499.",5.0,4,10.4 ah,1 year,36v,li-ion,12 hrs,35-40 km,250w,15 km/h,26 kilograms
