title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(Km),motor(W),maximum_speed(km/hr)
EMotorad X1 Red 27.5 inches Single Speed Lithium-ion (Li-ion) Ele,EMOTORAD,29999,25999,4000,13.33%,4.2,166,7.65,5,2,105,5,25
EMotorad Dope Kids ElectricCycle with 5.2Ah Li-Ion Remove Battery,EMOTORAD,25999,19999,6000,23.08%,2.8,5,5.2,5,7.31,105,80,25
MATELCO ULTRA EA 26x300 TYRE RED BLACK 26 inches Single Speed Lit,MATELCO,39999,26439,13560,33.90%,4.5,4,7.65,4,1,68,979,26
Motovolt Kivo Lite Red Range upto 45 Km in PAS Mode 26 inches Sin,MOTOVOLT,32499,26899,5600,17.23%,3.8,96,6,4,36,45,529,26
EMotorad Doodle Pro Fat-Tire Foldable Mountain Bike - 250W Rear H,EMOTORAD,79999,55899,24100,30.13%,4.1,22,12.75,5,36,105,250,25
"LEADER E-Power L6 with Front Suspension,Dual Disc Brake & Superio",LEADER,60000,24059,35941,59.90%,4,55,5.2,10,13.75,68,6,26
Motovolt Kivo Lite Neon Satin Range upto 45 Km in PAS Mode 26 inc,MOTOVOLT,32499,26599,5900,18.15%,3.8,96,7.65,4,36,45,841,26
"ALTER 20"" HANZOR KIDS ELECTRIC CYCLE, 95% PRE-ASSEMBLED WITH CHAR",ALTER,42000,23124,18876,44.94%,3.9,14,5.2,1,36,68,456,30
MATELCO ULTRA EA 26x300 TYRE NEON 26 inches Single Speed Lithium-,MATELCO,39999,26439,13560,33.90%,3.8,14,5.2,4,1,68,529,26
EMotorad Trex Red 7.65 29 inches 7 Gear Lithium-ion (Li-ion) Elec,EMOTORAD,37999,34499,3500,9.21%,4.02,96,7.65,5,7.31,105,504,24
EMotorad X1 Electric cycle Sky Blue 27.5 inches Single Speed Lith,EMOTORAD,32999,27999,5000,15.15%,4.2,166,7.65,5,2,105,5,24
EMotorad Lil E Junior Electric Kick Scooter for Kids 6+ Years 10,EMOTORAD,24999,24999,0,0.00%,3.2,6,7.65,5,7.31,105,250,16
Motovolt Kivo 24 Lite Carbon Grey upto 45 Km Range in PAS Mode 24,MOTOVOLT,32499,26999,5500,16.92%,3.8,55,5.2,4,8.63,67,979,26
EMotorad Trex Forest Furry 7.65 29 inches 7 Gear Lithium-ion (Li-,EMOTORAD,36599,31814,4785,13.07%,4.02,96,7.65,5,7.31,105,504,24
